model,question_id,question,category,difficulty,question_type,kb_supported,expected_source,is_trap,kb_match,latency_ms,llm_latency_ms,retrieval_ms,total_chunks_searched,correctness_score,hallucination,relevance_score,retrieval_quality_score,scoring_method,keyword_overlap,source,error,actual_answer_preview
codellama:latest,Q01,What does the retrieve_top_k() function do in PolicyPal's app.py?,Explanation,Easy,Explanation,True,app.py,False,True,64975,54941,10034,591,0,False,0.6,1,keyword_overlap,0.0968,live,,"I couldn't find any information about a ""retrieve_top_k()"" function in PolicyPal's app.py. It's possible that the function is not part of the codebase or that the question is based on outdated informa"
qwen2.5:0.5b,Q01,What does the retrieve_top_k() function do in PolicyPal's app.py?,Explanation,Easy,Explanation,True,app.py,False,True,49215,39181,10034,591,0,False,1.0,1,keyword_overlap,0.0968,live,,"The retrieve_top_k() function in PolicyPal's app.py does not have a direct meaning in the provided context. The context is related to a specific dataset and policy documents, but the function name ""re"
tinyllama:1.1b,Q01,What does the retrieve_top_k() function do in PolicyPal's app.py?,Explanation,Easy,Explanation,True,app.py,False,True,52529,42495,10034,591,0,False,0.6,1,keyword_overlap,0.0968,live,,"The retrieve_top_k() function in PolicyPal's app.py retrieves the top n data points of each dataset based on the specified criteria, with n being the number of results to retrieve. It uses the pandas "
codellama:latest,Q02,Explain how the generate_answer() function in rag.py constructs the prompt sent to the LLM.,Explanation,Medium,Explanation,True,rag.py,False,False,0,0,1108,591,1,False,0.1429,,keyword_overlap,0.2,live,,I couldn't find relevant information about this question in the PolicyPal Knowledge Base. PolicyPal is designed to answer questions using only the available uploaded policy documents.
qwen2.5:0.5b,Q02,Explain how the generate_answer() function in rag.py constructs the prompt sent to the LLM.,Explanation,Medium,Explanation,True,rag.py,False,False,0,0,1108,591,1,False,0.1429,,keyword_overlap,0.2,live,,I couldn't find relevant information about this question in the PolicyPal Knowledge Base. PolicyPal is designed to answer questions using only the available uploaded policy documents.
tinyllama:1.1b,Q02,Explain how the generate_answer() function in rag.py constructs the prompt sent to the LLM.,Explanation,Medium,Explanation,True,rag.py,False,False,0,0,1108,591,1,False,0.1429,,keyword_overlap,0.2,live,,I couldn't find relevant information about this question in the PolicyPal Knowledge Base. PolicyPal is designed to answer questions using only the available uploaded policy documents.
codellama:latest,Q03,What does chunk_documents.py do and what are the key parameters it uses?,Explanation,Easy,Explanation,True,chunk_documents.py,False,True,45105,44923,182,591,1,False,0.6667,1,keyword_overlap,0.303,live,,"The script chunk_documents.py is used to break down a large text file into smaller chunks. It is a Python script that can be used to process large text files by breaking them down into smaller, more m"
qwen2.5:0.5b,Q03,What does chunk_documents.py do and what are the key parameters it uses?,Explanation,Easy,Explanation,True,chunk_documents.py,False,True,2047,1865,182,591,0,False,1.0,1,keyword_overlap,0.1212,live,,"The provided context does not contain a specific information about the function ""chunk_documents.py"". Therefore, the user's question ""What does chunk_documents.py do and what are the key parameters it"
tinyllama:1.1b,Q03,What does chunk_documents.py do and what are the key parameters it uses?,Explanation,Easy,Explanation,True,chunk_documents.py,False,True,6903,6721,182,591,1,False,0.5,1,keyword_overlap,0.2727,live,,"Chunk_documents.py is a Python script that reads a large file, cuts it into smaller parts, and saves them in a specified directory. The key parameters used by the script are:  1. The size of the chunk"
codellama:latest,Q04,What does the cosine_similarity() function in app.py calculate and why is it used in PolicyPal?,Explanation,Easy,Explanation,True,app.py,False,True,54269,54172,97,591,2,False,0.75,1,keyword_overlap,0.4194,live,,The cosine_similarity() function in app.py calculates the cosine similarity between two vectors. The cosine similarity is a measure of the similarity between two vectors in a multi-dimensional space. 
qwen2.5:0.5b,Q04,What does the cosine_similarity() function in app.py calculate and why is it used in PolicyPal?,Explanation,Easy,Explanation,True,app.py,False,True,4241,4144,97,591,1,False,0.625,1,keyword_overlap,0.3548,live,,"The cosine_similarity() function in the app.py file calculates a measure of the similarity between two sequences of text, such as a document and its metadata. It is used in PolicyPal to analyze the re"
tinyllama:1.1b,Q04,What does the cosine_similarity() function in app.py calculate and why is it used in PolicyPal?,Explanation,Easy,Explanation,True,app.py,False,True,5386,5289,97,591,1,False,0.625,1,keyword_overlap,0.2903,live,,The cosine_similarity() function in app.py calculates the cosine similarity between two vectors as described in the given context. The purpose of using this function is to determine how similar two ve
codellama:latest,Q05,Which file in PolicyPal handles the PDF ingestion pipeline that allows users to upload new documents?,Code Retrieval,Easy,Code Retrieval,True,app.py,False,True,19971,19836,135,591,0,False,0.3636,1,keyword_overlap,0.0556,live,,"The PolicyPal AI system does not handle the PDF ingestion pipeline. The system only provides information on the available policies and their contents. However, you can upload your own policies to the "
qwen2.5:0.5b,Q05,Which file in PolicyPal handles the PDF ingestion pipeline that allows users to upload new documents?,Code Retrieval,Easy,Code Retrieval,True,app.py,False,True,1481,1346,135,591,0,False,0.8182,1,keyword_overlap,0.0556,live,,The file in PolicyPal that handles the PDF ingestion pipeline allowing users to upload new documents is `Dataset/pdfs/GST/cgst_act.pdf`.
tinyllama:1.1b,Q05,Which file in PolicyPal handles the PDF ingestion pipeline that allows users to upload new documents?,Code Retrieval,Easy,Code Retrieval,True,app.py,False,True,7921,7786,135,591,0,False,0.9091,1,keyword_overlap,0.0833,live,,"The file in PolicyPal AI that handles the PDF ingestion pipeline that allows users to upload new documents is nvoice, the details of outward supplies furnished under section 37 and the particulars upl"
codellama:latest,Q06,Which file in PolicyPal is responsible for wrapping the Ollama LLM API and exposing it as a microservice?,Code Retrieval,Easy,Code Retrieval,True,llm_service.py,False,True,15374,15242,132,591,0,False,0.875,1,keyword_overlap,0.1379,live,,"The file responsible for wrapping the Ollama LLM API and exposing it as a microservice in PolicyPal is the ""microservice.py"" file."
qwen2.5:0.5b,Q06,Which file in PolicyPal is responsible for wrapping the Ollama LLM API and exposing it as a microservice?,Code Retrieval,Easy,Code Retrieval,True,llm_service.py,False,True,1335,1203,132,591,0,False,0.0,1,keyword_overlap,0.0,live,,I could not find this information in the policy documents.
tinyllama:1.1b,Q06,Which file in PolicyPal is responsible for wrapping the Ollama LLM API and exposing it as a microservice?,Code Retrieval,Easy,Code Retrieval,True,llm_service.py,False,True,3865,3733,132,591,0,False,0.875,1,keyword_overlap,0.1379,live,,"The file in PolicyPal that is responsible for wrapping the Ollama LLM API and exposing it as a microservice is PolicyPal AI, a policy information assistant."
